"RID","AnnualFee_1","AnnualFee_2","AnnualFee_3","AnnualFee_4","AnnualFee_5","Rewards_1","Rewards_2","Rewards_3","Rewards_4","InterestRate_1","InterestRate_2","InterestRate_3","InterestRate_4","InterestRate_5","InterestRate_6","Fees_1","Fees_2","Fees_3","CreditLimit_1","CreditLimit_2","CreditLimit_3","CreditLimit_4","CreditLimit_5","CreditLimit_6"
"R_3qxHxgRTcMZS5UA"," 2.687451e+00"," 4.767025e-01","-0.5347934188","-2.951903241"," 0.3225429898","-1.394598223"," 0.8121839032"," 2.176867e-01"," 3.647276e-01"," 3.054477077"," 1.712948931"," 1.264753e+00","-8.113042e-01","-1.8765011376","-3.344373600","-2.920983e-01","-1.7859732301"," 2.0780715540"," 9.217442e-02"," 0.8074960398"," 0.1366829721","-2.898536e-02","-0.3292750172","-0.6780930631"
"R_3m4OXohVqmhG3ht"," 4.348362e-01"," 2.523949e-01"," 1.1576206870","-0.048782618","-1.7960691474","-1.058441944"," 1.0188983034","-1.957250e-01"," 2.352686e-01"," 0.207381217"," 0.839285858"," 1.001153e+00","-2.368852e-01","-0.5109434452","-1.299991474","-2.037829e-01","-0.9374052518"," 1.1411881237","-5.961900e-01","-0.3942447240"," 0.1476645371"," 6.933804e-01"," 0.2949966461","-0.1456068962"
"R_3hcEQfgGhZSbudy"," 2.569246e+00"," 1.121162e-01","-1.1654870911","-3.030545298"," 1.5146698627","-1.578561855"," 1.0681727899","-7.668282e-02"," 5.870719e-01"," 2.225992801"," 1.377617751"," 9.442170e-01","-4.396138e-01","-1.4582791812","-2.649934548"," 1.681179e-01","-1.4343314125"," 1.2662135252"," 1.107033e+00"," 0.6148339818"," 0.6488909180"," 1.709309e-01","-0.5893607502","-1.9523284133"
"R_1LdttZwDIzDmlwW"," 2.886565e+00"," 7.152399e-01","-1.3416342444","-1.325257734","-0.9349124661","-0.423870483"," 0.3863215881"," 1.603619e-01","-1.228130e-01"," 0.540194348"," 1.432283366"," 2.988533e-01"," 3.633121e-01","-0.9818259011","-1.652817250"," 3.904294e-01","-1.0434539543"," 0.6530245626","-1.202790e+00"," 0.5798067396"," 0.4485038213"," 8.680399e-01","-0.4824459902","-0.2111147204"
"R_2YX5BU2S471iOq7"," 2.674246e+00"," 8.397004e-01","-0.5683327265","-1.317633297","-1.6279806909","-1.163827526"," 0.5960831500"," 6.474014e-01","-7.965704e-02"," 1.724011830"," 1.762954225"," 7.993694e-01","-1.633801e-01","-2.1027209387","-2.020234359","-1.169488e-01","-0.4041677564"," 0.5211165577","-3.081376e+00","-2.1785549506","-0.2175419943"," 9.151055e-02"," 2.6385784827"," 2.7473842513"
"R_3Jz9OSNIUjUTEOr"," 2.615689e+00"," 2.269374e-01","-0.3511213806","-2.521160469"," 0.0296558074","-2.123348798"," 0.9328111923"," 1.158504e+00"," 3.203407e-02"," 2.909986695"," 2.275469603"," 1.025376e+00","-3.394777e-01","-2.1808872918","-3.690466912"," 2.922208e-01","-2.0062476443"," 1.7140268641","-2.912807e+00","-0.7084223164"," 0.0115594411"," 9.389138e-01"," 1.1669181919"," 1.5038376981"
"R_0GsvZ2Nqp0UZcOJ"," 5.164515e-01"," 1.295416e-01"," 0.3189381081"," 0.625179241","-1.5901104341","-1.900501256"," 0.9715787552"," 1.115392e+00","-1.864694e-01"," 1.917931331"," 0.790714522"," 7.089099e-01"," 2.587033e-01","-1.8584907691","-1.817768256"," 9.315202e-03","-2.2673551815"," 2.2580399791","-2.050647e+00","-0.3605193871"," 0.0399599021"," 1.219359e+00"," 0.4447943038"," 0.7070524034"
"R_3pfNlmZ8iltJiXH"," 3.033199e+00"," 2.724568e-01","-1.4397947055","-2.495933377"," 0.6300719332","-2.388875807"," 1.1317885073"," 9.517840e-01"," 3.053033e-01"," 1.934556925"," 0.840131223"," 1.143215e+00","-2.945398e-01","-0.9550891376","-2.668274341"," 4.037760e-01","-1.7818497100"," 1.3780737345","-1.045789e+00","-0.0094605358"," 0.7345475463"," 2.376640e-01"," 0.3948410920","-0.3118034225"
"R_Z3l0PlXunJjsEhz"," 3.723439e+00"," 1.670914e-01","-1.9582708060","-3.288851641"," 1.3565919334","-1.242495196"," 0.9211767125"," 2.578804e-01"," 6.343808e-02"," 0.471926207"," 1.178039969"," 4.025609e-01","-8.836871e-02","-1.0610164675","-0.903141874","-8.562852e-02","-0.7097741286"," 0.7954026528","-3.224715e+00","-1.0839533689","-0.0698382152"," 8.209553e-01"," 1.5780545165"," 1.9794963127"
"R_2TtwEwDW5ppJXGF"," 2.702465e+00","-4.171569e-02","-1.2396298907","-1.668014424"," 0.2468948169","-1.207719610"," 0.3800645051"," 5.348983e-01"," 2.927568e-01"," 1.534038873"," 2.473275544"," 8.982442e-01","-4.290192e-01","-2.1678326586","-2.308706780","-3.182886e-01","-0.8056585884"," 1.1239471847","-3.091088e+00","-2.0950844243","-0.1554024998"," 6.702098e-01"," 2.5092142055"," 2.1621509325"
"R_28Y6DO6SjoynKQ9"," 3.201031e+00","-6.368739e-01","-1.3422497527","-3.411885833"," 2.1899780642"," 0.360019208","-0.3276766762","-2.743138e-01"," 2.419713e-01"," 0.235617502","-0.006638040"," 6.215579e-01","-2.020295e-01"," 0.1451733305","-0.793681130","-2.008967e-01","-0.9100357347"," 1.1109324391","-1.131318e+00"," 1.1275700165"," 0.2372381522"," 4.141819e-01","-0.2740368359","-0.3736348658"
"R_2txPA9zCy06lII1"," 2.848857e+00","-3.342153e-01","-1.4402961899","-2.879094860"," 1.8047489603","-1.340220878"," 0.6821448796"," 4.327015e-01"," 2.253745e-01"," 1.775551563"," 0.867475426"," 8.238237e-02"," 7.136110e-02","-1.1094594210","-1.687311034","-3.230908e-02","-1.4397841204"," 1.4720931989","-2.091732e+00","-0.3148354505"," 0.3883148521"," 8.901319e-01"," 0.7635529491"," 0.3645672682"
"R_1DXUl1Q3iy1xxTJ"," 2.747059e+00"," 6.064048e-01","-1.0907632253","-2.572624648"," 0.3099242612","-1.443405362"," 1.4975650490","-1.818688e-02","-3.597280e-02"," 1.939309545"," 1.403826074"," 1.327452e+00","-4.340048e-01","-1.4424399086","-2.794142932"," 4.541426e-01","-2.1692978921"," 1.7151552800"," 1.632946e-01"," 0.8754276253"," 1.0671399050"," 2.145936e-01","-0.5611233221","-1.7593323905"
"R_1QtJt2zOyWSaIUi"," 1.383613e+00","-1.631490e-01"," 0.3018602513","-1.132540630","-0.3897839007","-2.356643136"," 1.0901820597"," 8.546270e-01"," 4.118340e-01"," 0.556457224"," 0.223908289"," 3.923226e-01"," 3.279362e-01","-0.4662979150","-1.034326458"," 2.284736e-01","-1.9391458814"," 1.7106722820","-1.908436e+00","-1.3162501334","-0.3572415834"," 1.087286e+00"," 0.6898377729"," 1.8048041302"
"R_21BO6gKviSrdsLT"," 1.928855e+00","-4.862982e-01","-0.8469498256","-2.002890316"," 1.4072830647","-0.049995915","-0.2981454740"," 2.559481e-01"," 9.219332e-02"," 0.120136005"," 0.480336817","-7.876010e-03"," 3.052165e-01","-0.4174673916","-0.480345956","-5.293405e-01"," 0.9923274811","-0.4629869917","-1.659849e+00","-0.0390036779","-0.2015938639"," 5.987070e-01"," 0.8059342411"," 0.4958053477"
"R_3P7F269NjqDs5YI"," 1.119499e+00"," 2.184029e-01","-1.0709467892","-1.225342219"," 0.9583870064","-1.299978081"," 0.1836611893"," 6.909318e-01"," 4.253851e-01"," 1.844234578"," 1.018140325","-1.785401e-01","-9.768590e-01","-1.1764971873","-0.530478619"," 5.123229e-02","-1.4552434683"," 1.4040111768","-1.973994e+00"," 0.3081590704"," 0.2045376384"," 1.315338e+00"," 0.6648963165","-0.5189364233"
